,name,is_closed,url,rating,price,review_count,latitude,longitude,location
18,Organic CBD Nugs - Hemp Flower,False,https://www.yelp.com/biz/organic-cbd-nugs-hemp-flower-los-angeles-3?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,5.0,,37,34.03023147583008,-118.24201202392578,"(34.03023147583008, -118.24201202392578)"
19,FireHaus,False,https://www.yelp.com/biz/firehaus-los-angeles-6?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,148,34.042108,-118.4416266,"(34.042108, -118.4416266)"
20,The High Note - Culver City,False,https://www.yelp.com/biz/the-high-note-culver-city-los-angeles-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,$$,57,34.02582,-118.3607,"(34.02582, -118.3607)"
21,MedMen Venice Beach - Lincoln Blvd,False,https://www.yelp.com/biz/medmen-venice-beach-lincoln-blvd-los-angeles-4?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,213,34.0008077,-118.466145,"(34.0008077, -118.466145)"
22,BARC Collective,False,https://www.yelp.com/biz/barc-collective-los-angeles-4?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,84,34.07077,-118.37564,"(34.07077, -118.37564)"
23,MedMen Los Angeles - West Hollywood,False,https://www.yelp.com/biz/medmen-los-angeles-west-hollywood-west-hollywood-3?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,550,34.0905911417357,-118.367290442404,"(34.0905911417357, -118.367290442404)"
24,Organic Kind,False,https://www.yelp.com/biz/organic-kind-los-angeles-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,$$$,48,34.0770492553711,-118.25887298584,"(34.0770492553711, -118.25887298584)"
25,Mary Jane's Collective,False,https://www.yelp.com/biz/mary-janes-collective-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,97,34.0836418,-118.3072488,"(34.0836418, -118.3072488)"
26,Cornerstone Wellness,False,https://www.yelp.com/biz/cornerstone-wellness-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,148,34.1418972,-118.2220956,"(34.1418972, -118.2220956)"
27,Sweet Flower Arts District,False,https://www.yelp.com/biz/sweet-flower-arts-district-los-angeles-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,53,34.037441,-118.232294,"(34.037441, -118.232294)"
28,MMD - North Hollywood,False,https://www.yelp.com/biz/mmd-north-hollywood-los-angeles-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,113,34.1561,-118.36995,"(34.1561, -118.36995)"
29,Universal Collective,False,https://www.yelp.com/biz/universal-collective-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,$$,66,34.1343,-118.36019,"(34.1343, -118.36019)"
30,MOTA Medicine Of The Angels,False,https://www.yelp.com/biz/mota-medicine-of-the-angels-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,112,34.09284,-118.28034,"(34.09284, -118.28034)"
31,Rose Collective,False,https://www.yelp.com/biz/rose-collective-venice?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,150,33.9979274,-118.474851,"(33.9979274, -118.474851)"
32,Ganjarunner,False,https://www.yelp.com/biz/ganjarunner-los-angeles-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,132,34.10161,-118.30206,"(34.10161, -118.30206)"
33,The Buddha Company - Arts District,False,https://www.yelp.com/biz/the-buddha-company-arts-district-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,$$,59,34.030514,-118.230839,"(34.030514, -118.230839)"
34,Top Shelf Marijuana Delivery,False,https://www.yelp.com/biz/top-shelf-marijuana-delivery-west-hollywood?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,$$$$,68,34.09431,-118.36154,"(34.09431, -118.36154)"
35,Sweet Flower,False,https://www.yelp.com/biz/sweet-flower-los-angeles-5?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,137,34.14178817,-118.387948,"(34.14178817, -118.387948)"
36,MedMen Los Angeles - Beverly Hills,False,https://www.yelp.com/biz/medmen-los-angeles-beverly-hills-los-angeles-4?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,160,34.0746620981703,-118.383718578289,"(34.0746620981703, -118.383718578289)"
37,Kush Alley,False,https://www.yelp.com/biz/kush-alley-north-hills?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,$$,83,34.222696104142,-118.497881285285,"(34.222696104142, -118.497881285285)"
38,The Green Easy,False,https://www.yelp.com/biz/the-green-easy-los-angeles-7?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,74,34.076221,-118.370504,"(34.076221, -118.370504)"
39,The Healing Touch,False,https://www.yelp.com/biz/the-healing-touch-encino?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,89,34.164894,-118.524812,"(34.164894, -118.524812)"
40,Fast & Friendly Delivery Service,False,https://www.yelp.com/biz/fast-and-friendly-delivery-service-hermosa-beach-4?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,125,33.8649142,-118.3944767,"(33.8649142, -118.3944767)"
41,Pot Valet,False,https://www.yelp.com/biz/pot-valet-santa-monica-6?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,79,34.0115966796875,-118.468780517578,"(34.0115966796875, -118.468780517578)"
42,CAC Venice,False,https://www.yelp.com/biz/cac-venice-venice?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,52,34.0022531,-118.4691969,"(34.0022531, -118.4691969)"
43,Green Angel,False,https://www.yelp.com/biz/green-angel-sherman-oaks?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,64,34.148844,-118.437367,"(34.148844, -118.437367)"
44,Nugg,False,https://www.yelp.com/biz/nugg-los-angeles-3?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,3.5,,147,34.029109954834,-118.283065795898,"(34.029109954834, -118.283065795898)"
45,The Kind Center,False,https://www.yelp.com/biz/the-kind-center-los-angeles-3?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,66,34.10657,-118.33032,"(34.10657, -118.33032)"
46,The Reefinery,False,https://www.yelp.com/biz/the-reefinery-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,68,34.1796,-118.4577,"(34.1796, -118.4577)"
47,Pine X Delivery,False,https://www.yelp.com/biz/pine-x-delivery-manhattan-beach?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,5.0,$$,28,33.886116027832,-118.405311584473,"(33.886116027832, -118.405311584473)"
